25,84,-0,01898289,2,28481,0,1463041
29,84,0,01364613,2,226133,0,109561
97,64,-0,01945114,2,299687,0,1047149
99,43999,0,007270813,2,2385,0,09849405
103,34,0,00268364,2,230838,0,1026495
116,24,0,2077208,0,740942,2,232474
174,34,0,4598722,2,077011,0,6733825
177,14,0,5297613,2,026288,0,6771317
183,84,0,5216007,1,870281,0,6777761
219,14,0,4428978,1,935296,0,7958441
225,74,0,5803919,1,925007,0,7761431
229,04,-0,9855347,0,825915,2,084783
275,64,-0,3996696,0,07321659,0,4630942
306,44,-0,3638535,0,4825348,2,120812
380,94,0,1991444,2,381926,0,5610774
399,34,0,01839638,2,047878,-0,1247272
400,74,-0,2995987,1,974147,0,4225404
610,24,0,5496664,2,694422,0,5348387
612,74,0,1139669,0,3248896,0,4202545
