18,84,0,03452778,0,434902,0,0330675
25,64,-0,01856136,2,282241,0,1502192
29,74,0,001286507,2,237363,0,1057596
35,64,0,06381702,0,07893477,0,06169222
93,64,-0,01404762,2,543312,0,08222245
97,43999,-0,02442837,2,301716,0,103702
99,34,0,007274628,2,2385,0,09849425
100,84,-0,01710129,2,240941,0,07588729
101,14,-0,01710129,2,240941,0,07588729
104,54,0,03271866,2,223831,0,09997423
110,94,0,07867241,0,865149,2,70596
174,34,0,4598751,2,077012,0,6733823
176,94,0,535141,1,970281,0,6827734
180,14,0,5336103,1,922105,0,6904343
183,54,0,5256033,1,848213,0,6904201
184,74,0,5901451,0,1536531,0,6378756
219,34,0,1515598,0,8844634,0,3938511
220,14,0,5881968,2,000161,0,7693187
225,54,0,582262,1,936419,0,7646874
229,64,-1,714593,0,8579683,2,066041
232,44,-0,4181643,0,06994899,0,4894488
260,04,-0,3996277,0,07324085,0,4630675
376,54,0,4366455,1,063513,0,07443188
380,54,0,3754044,2,372628,0,3825005
399,24,0,04480743,2,077034,-0,3197945
400,64,-0,2851276,1,99345,0,3963635
600,54,0,2459249,0,1682062,-0,1795858
603,04,0,1134634,1,070888,0,01602133
608,14,0,2520781,2,359957,-0,03870901
610,14,0,55159,2,683555,0,5316126
612,64,0,1147861,0,5714877,0,4283286
