0,-2,96,1,623056,0,78
0,02,-2,96,1,623056,0,78
0,12,-2,920429,1,623056,0,7741575
0,22,-2,683003,1,623056,0,7391029
0,32,-2,336756,1,623056,0,6879816
0,4,-2,008875,1,623056,0,6395719
0,5,-1,675632,1,623056,0,5903704
0,6,-1,329385,1,623056,0,5392491
0,7,-0,983139,1,623056,0,4881278
0,8,-0,6648176,1,623056,0,4411295
0,9,-0,3185711,1,623056,0,3900082
0,98,0,0099473,1,623056,0,3415044
1,08,0,3561935,1,623056,0,2903831
1,18,0,6911345,1,623056,0,240931
1,28,1,014891,1,623056,0,1931303
1,38,1,361137,1,623056,0,1420089
1,48,1,704233,1,623056,0,09135288
1,58,2,050479,1,623056,0,04023153
1,68,2,388083,1,623056,-0,009613752
1,78,2,719841,1,623056,-0,05859584
1,88,3,066087,1,623056,-0,1097171
1,96,3,405842,1,623056,-0,15988
2,06,3,747682,1,623056,-0,2103507
2,16,3,919428,1,623056,-0,3538723
2,26,3,90859,1,623056,-0,5785493
2,36,3,711493,1,623056,-0,8677778
2,46,3,504849,1,623056,-1,150263
