0,11,88,0,058,0
0,02,11,88,0,058,0
0,12,11,88,0,058,0
0,22,-2,353265,0,07886836,-0,1335578
0,32,-2,353181,0,07872984,-0,1336069
0,42,-2,353222,0,07880166,-0,133615
0,52,-2,353239,0,07875821,-0,1335926
0,62,-2,353266,0,07877836,-0,1335793
0,72,-2,353251,0,07879552,-0,1336298
0,82,-2,353241,0,0787544,-0,1336093
0,92,-2,353267,0,07879356,-0,1335754
1,02,-2,353267,0,07879356,-0,1335754
1,12,-2,353252,0,07875565,-0,1336126
1,22,-2,353208,0,07867953,-0,1336145
1,32,-2,353189,0,07871208,-0,1335931
1,42,-2,353282,0,07883516,-0,1335707
1,52,-2,353199,0,07874367,-0,1336465
1,62,-2,353217,0,07872722,-0,1336379
1,72,-2,353268,0,07873377,-0,1336083
1,82,-2,353246,0,07880941,-0,1335983
1,92,-2,353211,0,07871708,-0,1336493
2,02,-2,353179,0,07873818,-0,1336637
2,12,-2,353278,0,07877317,-0,1335888
2,22,-2,353256,0,07882455,-0,1335835
2,32,-2,353251,0,07882449,-0,1336422
2,42,-2,353232,0,07876459,-0,1336389
2,52,-2,35325,0,07881191,-0,1336389
2,62,-2,35327,0,07880214,-0,1336341
2,72,-2,353225,0,078778,-0,1336188
2,82,-2,353211,0,07874724,-0,1336045
2,92,-2,353242,0,0788314,-0,1336017
3,02,-2,353205,0,07876894,-0,1336136
3,12,-2,353235,0,07879093,-0,1336012
3,22,-2,353204,0,07873723,-0,1336193
3,32,-2,353287,0,07887623,-0,1335745
3,42,-2,353253,0,07879683,-0,1336584
3,52,-2,353273,0,07881597,-0,1335955
3,62,-2,353178,0,0786877,-0,1336541
3,72,-2,353152,0,07869467,-0,1336141
3,82,-2,353277,0,07882288,-0,133606
3,92,-2,353277,0,07882288,-0,133606
4,02,-2,353241,0,07885006,-0,1336026
4,12,-2,353231,0,07880118,-0,1335993
4,22,-2,353148,0,07871136,-0,1336231
4,32,-2,35316,0,07872161,-0,1336861
4,42,-2,353233,0,0788677,-0,1336155
